"year","rating","length","movie_name","Genres:","Rate:","Added to Netflix:","Director:","Cast:","Production Country:","New Season Added:"
"2020","5.2/10","27 min","Elf Pets: Santa’s Reindeer Rescue","Children & Family Movies","","November 1, 2020","Chanda Bell","Brad Hyland, Drew Barber, Ashley Roberts, Lowrey Brown, Kristyl Tift, Manny Mahen, Olivia Berkeley, Eleanor Rocha","United States",NA
"2018","5.2/10","90 min","Elliot the Littlest Reindeer","Children & Family Movies","","November 1, 2020","Jennifer Westcott","Josh Hutcherson, Samantha Bee, Martin Short, Morena Baccarin, Jeff Dunham, John Cleese","Canada",NA
"2019","8.5/10","1 Season","Forged in Fire","Reality TV","","November 1, 2020",NA,"Wil Willis","United States",NA
"2016","7.6/10","1 Season","Kid-E-Cats","Kids' TV","","November 1, 2020",NA,"Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder","Russia",NA
"2018","8.9/10","3 Seasons","Leah Remini: Scientology and the Aftermath","Docuseries","",NA,NA,"Leah Remini, Mike Rinder","United States","November 1, 2020"
"2019","6.7/10","1 Season","LEGO Jurassic World: Legend of Isla Nublar","Kids' TV","","November 1, 2020",NA,NA,"United States",NA
"2018","6.0/10","1 Season","LEGO Jurassic World: Secret Exhibit","Kids' TV","","November 1, 2020",NA,"Britt McKillip, Ian Hanlin, Dhirendra, Alex Zahara, Vincent Tong, Bethany Brown, Adrian Petriw, Sabrina Pitre","United States",NA
"2020","8.2/10","2 Seasons","LEGO Ninjago","Kids' TV","",NA,NA,"Michael Adamthwaite, Paul Dobson, Kelly Metzger, Brent Miller, Kirby Morrow, Pauline Newstone, Vincent Tong, Sam Vincent","Canada","November 1, 2020"
"2020","8.2/10","2 Seasons","LEGO Ninjago","Kids' TV","",NA,NA,"Michael Adamthwaite, Paul Dobson, Kelly Metzger, Brent Miller, Kirby Morrow, Pauline Newstone, Vincent Tong, Sam Vincent","Canada","November 1, 2020"
"2019","7.2/10","10 Seasons","LEGO Ninjago: Masters of Spinjitzu","Kids' TV","",NA,NA,"Vincent Tong, Jillian Michaels, Ian James Corlett, John Novak, Paul Dobson, Michael Adamthwaite, Kelly Metzger, Brent Miller, Kirby Morrow, Brian Drummond, Mark Oliver, Michael Kopsa","Denmark, Singapore, Canada, United States","November 1, 2020"
"2019","7.1/10","1 Season","LEGO: CITY Adventures","Kids' TV, TV Comedies","","November 1, 2020",NA,"Joe Zieja, Misty Lee, Alex Cazares, Daniel MK Cohen, James Arnold Taylor, Roger Craig Smith, Mick Lauer","United States, France, Denmark",NA
"1989","6.2/10","102 min","Little Monsters","Children & Family Movies, Comedies","","November 1, 2020","Richard Greenberg","Fred Savage, Howie Mandel, Daniel Stern, Margaret Whitton, Rick Ducommun, Frank Whaley, Ben Savage, William Murray Weiss, Devin Ratray, Amber Barretto","United States",NA
"2018","6.2/10","94 min","Mile 22","Action & Adventure","","November 1, 2020","Peter Berg","Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich, Ronda Rousey, Carlo Alban, Sam Medina, Terry Kinney, Nikolai Nikolaeff, Natasha Goubskaya","United States, China, Colombia",NA
"2018","5.4/10","81 min","Piercing","Dramas, Independent Movies, Thrillers","","November 1, 2020","Nicolas Pesce","Christopher Abbott, Mia Wasikowska, Laia Costa, Marin Ireland, Maria Dizzia, Wendell Pierce, Olivia Bond, Dakota Lustick","United States",NA
"2016","7.4/10","134 min","Snowden","Dramas, Thrillers","","November 1, 2020","Oliver Stone","Joseph Gordon-Levitt, Shailene Woodley, Zachary Quinto, Melissa Leo, Tom Wilkinson, Timothy Olyphant, Nicolas Cage, Rhys Ifans, Joely Richardson, Scott Eastwood, Ben Schnetzer, Logan Marshall-Green","United Kingdom, France, Germany, United States",NA
"2018","5.2/10","4 Seasons","The Garfield Show","Kids' TV, TV Comedies","",NA,NA,"Frank Welker, Wally Wingert, Gregg Berger","France, United States","November 1, 2020"
"2020","7.6/10","1 Season","The Good Detective","Crime TV Shows, International TV Shows, TV Dramas","","November 1, 2020",NA,"Son Hyun-joo, Jang Seung-jo, Lee Elijah, Oh Jung-se","South Korea",NA
"2012","7.5/10","114 min","The Impossible","Dramas","","November 1, 2020","J.A. Bayona","Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin, Oaklee Pendergast, Marta Etura, Sönke Möhring, Geraldine Chaplin, Ploy Jindachote, Jomjaoi Sae-Limh","Spain, Thailand, United States",NA
"1994","4.7/10","107 min","The Next Karate Kid","Action & Adventure, Dramas, Sports Movies","","November 1, 2020","Christopher Cain","Pat Morita, Hilary Swank, Michael Ironside, Constance Towers, Chris Conrad, Arsenio ""Sonny"" Trinidad, Michael Cavalieri, Walton Goggins","United States",NA
"2018","7.8/10","2 Seasons","Voice","Crime TV Shows, International TV Shows, Korean TV Shows","",NA,NA,"Jang Hyuk, Lee Ha-na, Baek Sung-hyun, Ye-sung, Son Eun-seo, Kwon Jae-hwan, Lee Ju-seung, Kim Jae-wook","South Korea","November 1, 2020"
"2020","5.5/10","107 min","Wheels of Fortune","Comedies, Sports Movies","","November 1, 2020","Shaun Paul Piccinino","Matt Jones, Noureen DeWulf, John Ducey, Matty Cardarople, Jeff Fahey, Christina Moore, Gabriel Tigerman, Ali Afshar, Tyler Jacob Moore, Jessica Serfaty","United States",NA
"2017",NA,"1 Season","Afronta! Facing It!","Docuseries, International TV Shows","","October 31, 2020","Juliana Vicente","Loo Nascimento, Ingrid Silva, Rincon Sapiencia, Batekoo, Gabriel Martins, Benjamin Abras, Daniele DaMata, Tasha & Tracie Okereke, Mariana de Matos, André Novais, Mahal Pita, Grace Passô, Thamyra Thâmara, Xenia França, Criola, Dani Ornellas, Anelis Assumpçao, Magá Moura, Tássia Reis, Liniker, Yasmin Thayná, Raquel Virgínia, Juliana Luna, Erica Malunguinho, Diane Lima, Karol Conká","Brazil",NA
"2018","7.5/10","130 min","The 12th Man","Action & Adventure, Dramas, International Movies","","October 31, 2020","Harald Zwart","Thomas Gullestad, Jonathan Rhys Meyers, Marie Blokhus, Mads Sjogard Pettersen, Vegar Hoel, Hakon T. Nielsen, Eirik Risholm Velle, Daniel Frikstad, Eric Dirnes, Alexander Zwart","Norway",NA
"2019","7.1/10","1 Season","Zumbo's Just Desserts","International TV Shows, Reality TV","",NA,NA,"Adriano Zumbo, Rachel Khoo","Australia","October 31, 2020"
"2019","4.2/10","87 min","Hidden in Plain Sight","Dramas, Independent Movies, Thrillers","","October 30, 2020","Stacia Crawford","Victoria Barabas, Gino Anthony Pesi, Jake Allyn, Deborah Van Valkenburgh, Jessica Meraz, Jack Fisher, Eve Sigall, Jerod Meagher","United States",NA
"2020","6.6/10","93 min","His House","Horror Movies, Independent Movies","","October 30, 2020","Remi Weekes","<U+1E62><U+1ECD>p<U+1EB9>´ Dirísu, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba","United Kingdom",NA
"2017","6.0/10","114 min","In Line","Dramas, International Movies","","October 30, 2020","Tope Oshin","Chris Attoh, Adesua Etomi, Uzor Arukwe, Sika Osei, Leonora Okien, Shawn Faqua, Tina Mba","Nigeria",NA
"2020","3.3/10","91 min","Kaali Khuhi","Horror Movies, International Movies","","October 30, 2020","Terrie Samundra","Shabana Azmi, Leela Samson, Sanjeeda Sheikh, Satyadeep Misra, Riva Arora, Hetvi Bhanushali, Rose Rathod","India",NA
"2020",NA,"2 Seasons","Kongsuni and Friends","Kids' TV, Korean TV Shows","",NA,NA,"Hong So-yeong, Choi Bo-bae, Kim Eun-ah, Jeong Hye-won, Bae Jin-hong, Um Sang-hyun, Cha Moo-jin, Jang Min-young, Jang Do-young, Kim Sook-young, Park Ran, Kim Chang-won, Park Yeon-kyung",NA,"October 30, 2020"
"2020","7.4/10","7 Seasons","Marvel's Agents of S.H.I.E.L.D.","TV Action & Adventure, TV Sci-Fi & Fantasy","",NA,NA,"Clark Gregg, Ming-Na Wen, Brett Dalton, Chloe Bennet, Iain De Caestecker, Elizabeth Henstridge, Adrianne Palicki, Luke Mitchell, Henry Simmons","United States","October 30, 2020"
"2020","6.0/10","116 min","Rogue City","Dramas, International Movies, Thrillers","","October 30, 2020","Olivier Marchal","Lannick Gautry, Stanislas Merhar, Kaaris, David Belle, Jean Reno, Claudia Cardinale, Gérard Lanvin, Patrick Catalifo, Moussa Maaskri, Catherine Marchal","France",NA
"2020","8.2/10","4 Seasons","Somebody Feed Phil","Docuseries, Reality TV","",NA,NA,"Philip Rosenthal","United States","October 30, 2020"
"2020","7.8/10","3 Seasons","Suburra: Blood on Rome","Crime TV Shows, International TV Shows, TV Dramas","",NA,NA,"Alessandro Borghi, Giacomo Ferrara, Eduardo Valdarnini, Francesco Acquaroli, Filippo Nigro, Claudia Gerini, Adamo Dionisi, Barbara Chichiarelli, Federico Tocci, Gerasimos Skiadaresis, Elisabetta De Palo, Carlotta Antonelli, Renato Marchetti, Paola Sotgiu","Italy","October 30, 2020"
"2020","4.7/10","93 min","The Day of the Lord","Horror Movies, International Movies","","October 30, 2020","Santiago Alvarado Ilarri","Juli Fabregas, Ximena Romo, Héctor Illanes, Dolores Heredia","Mexico, Spain",NA
"2013","5.7/10","106 min","Pagpag: Nine Lives","Horror Movies, International Movies","","October 29, 2020","Frasco Mortiz","Daniel Padilla, Kathryn Bernardo, Shaina Magdayao, Paulo Avelino, Matet De Leon, Janus del Prado, Miles Ocampo, Clarence Delgado, CJ Navato, Michelle Vito","Philippines",NA
"2020","6.2/10","105 min","Holidate","Comedies, Romantic Movies","","October 28, 2020","John Whitesell","Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, Jessica Capshaw, Andrew Bachelor, Cynthy Wu, Alex Moffat, Manish Dayal","United States",NA
"2016",NA,"50 min","La Gran Ilusión","International Movies","","October 28, 2020","Antonio Díaz","Antonio Díaz",NA,NA
"2013","7.1/10","93 min","Metallica Through The Never","Music & Musicals","","October 28, 2020","Nimród Antal","Dane DeHaan, James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo","United States",NA
"2020","4.9/10","103 min","Nobody Sleeps in the Woods Tonight","Horror Movies, International Movies","","October 28, 2020","Bartosz M. Kowalski","Julia Wieniawa-Narkiewicz, Micha³ Lupa, Wiktoria G¹siewska, Stanis³aw Cywka, Sebastian Dela, Gabriela Muska³a, Micha³ Zbroja, Miros³aw Zbrojewicz, Piotr Cyrwus, Olaf Lubaszenko, Wojciech Mecwaldowski","Poland",NA
"2020","7.2/10","114 min","Secrets of the Saqqara Tomb","Documentaries","","October 28, 2020","James Tovell",NA,"United States",NA
"2020","7.5/10","1 Season","Blood of Zeus","Anime Series","","October 27, 2020",NA,"Derek Phillips, Jason O'Mara, Claudia Christian, Mamie Gummer, Jessica Henwick, Elias Toufexis, Chris Diamantopoulos, Adetokumboh M'Cormack, Matthew Mercer, Melina Kanakaredes, Danny Jacobs, Matt Lowe, Adam Croasdell, Jennifer Hale, David Shaughnessy, Fred Tatasciore, Vanessa Marshall","United States",NA
"2020","6.6/10","4 Seasons","Chico Bon Bon: Monkey with a Tool Belt","Kids' TV","",NA,NA,"Robbie Daymond, Dayci Brookshire, Anthony Tedesco, Andy Abbott, Roberta Lemons, Cole Seaver","United States","October 27, 2020"
"2020","7.2/10","95 min","Guillermo Vilas: Settling the Score","Documentaries, International Movies, Sports Movies","","October 27, 2020","Matías Gueilburt",NA,"Argentina",NA
"2020","5.5/10","50 min","Sarah Cooper: Everything's Fine","Comedies","","October 27, 2020","Natasha Lyonne","Sarah Cooper, Fred Armisen, Maya Rudolph, Ben Stiller, Megan Thee Stallion, Jane Lynch, Jon Hamm, Aubrey Plaza, Connie Chung, Jordan Black, Tommy Davidson, Helen Mirren, Jonathan Van Ness, Danielle Brooks, Winona Ryder, Marcella Arguello, Eddie Pepitone, Marisa Tomei, Whoopi Goldberg, Tom Kane","United States",NA
"2020","6.1/10","1 Season","The Devil Punisher","International TV Shows, Romantic TV Shows, TV Mysteries","","October 26, 2020","Chang Chin-jung, Chen Rong-hui","Mike He, Ivy Shao, Anson Chen, Jane Chang, Roy Chang, Amanda Chou, Johnny Yang, Yin Chao-te, Tan Ai-Chen, Chen Bor-jeng, Dewi Chien","Taiwan",NA
"2009","6.3/10","150 min","Ajab Prem Ki Ghazab Kahani","Comedies, International Movies, Music & Musicals","","October 25, 2020","Rajkumar Santoshi","Ranbir Kapoor, Katrina Kaif, Govind Namdeo, Darshan Jariwala, Zakir Hussain, Smita Jaykar, Navneet Nishan, Dolly Bindra, Upen Patel","India",NA
"2018","7.0/10","100 min","Black '47","Action & Adventure, Dramas, Independent Movies","","October 24, 2020","Lance Daly","Hugo Weaving, James Frecheville, Stephen Rea, Freddie Fox, Barry Keoghan, Moe Dunford, Sarah Greene, Jim Broadbent","Ireland, Luxembourg, Belgium",NA
"2019","6.6/10","117 min","I Am Woman","Dramas, Music & Musicals","","October 24, 2020","Unjoo Moon","Tilda Cobham-Hervey, Danielle Macdonald, Evan Peters, Chris Parnell, David Lyons, Matty Cardarople, Dusty Sorg","Australia",NA
"2019","6.7/10","87 min","Alice Junior","Comedies, International Movies, LGBTQ Movies","","October 23, 2020","Gil Baroni","Anne Celestino Mota, Emmanuel Rosset, Matheus Moura, Surya Amitrano, Thaís Schier, Cida Rolim, Katia Horn, Igor Augustho, Marcel Szymanski","Brazil",NA
"2020","7.3/10","1 Season","Barbarians","International TV Shows, TV Action & Adventure, TV Dramas","","October 23, 2020",NA,"Laurence Rupp, Jeanne Goursaud, David Schütter, Ronald Zehrfeld, Nicki von Tempelhoff, Bernhard Schütz, Eva Verena Müller, Sophie Rois, Gaetano Aronica, Nikolai Kinski, Jeremy Miliker","Germany",NA
"2020",NA,"1 Season","Move","Docuseries, International TV Shows","","October 23, 2020","Thierry Demaiziere, Alban Teurlai",NA,"United States",NA
"2020","6.5/10","100 min","Over the Moon","Children & Family Movies, Music & Musicals","","October 23, 2020","Glen Keane","Cathy Ang, Phillipa Soo, Ken Jeong, Robert G. Chiu, John Cho, Sandra Oh, Ruthie Ann Miles, Margaret Cho, Kimiko Glenn, Artt Butler, Irene Tsu, Clem Cheung, Conrad Ricamora","China, United States",NA
"2018","4.1/10","86 min","Shattered Memories","Dramas, Thrillers","","October 23, 2020","Chris Sivertson","Elizabeth Bogush, Brad Schmidt, Sarah Lind, Eddie Kaye Thomas, Phillip Boyd, Victoria Barabas, Mark Famiglietti, Walker Borba, Meg DeLacy","United States",NA
"2020","7.1/10","1 Season","Stolen Away","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","","October 23, 2020",NA,"Daniel Grao, Carolina Lapausa, Melani Olivares, Adriana Paz, Fernando Solórzano, Juan Carlos Messier, Jon Arias, Verónica Velásquez, David Trejos, Ana Maria Orozco","Spain",NA
"2020","8.7/10","1 Season","The Queen's Gambit","TV Dramas","","October 23, 2020",NA,"Anya Taylor-Joy, Bill Camp, Marielle Heller, Thomas Brodie-Sangster, Moses Ingram, Harry Melling, Isla Johnston, Christiane Seidel, Rebecca Root, Chloe Pirrie, Jacob Fortune-Lloyd","United States",NA
"2017","7.7/10","102 min","Bending the Arc","Documentaries","","October 22, 2020","Kief Davidson, Pedro Kos",NA,"United States",NA
"2020","5.2/10","87 min","Cadaver","Horror Movies, International Movies","","October 22, 2020","Jarand Herdal","Gitte Witt, Thomas Gullestad, Thorbjorn Harr, Tuva Olivia Remman, Trine Wiggen, Maria Grazia Di Meo, Kingsford Siayor, Jonatan Rodriguez","Norway",NA
"2018","6.5/10","103 min","Exes Baggage","Dramas, International Movies, Romantic Movies","","October 22, 2020","Dan Villegas","Angelica Panganiban, Carlo Aquino, Dionne Monsanto","Philippines",NA
"2019","6.9/10","112 min","Fisherman's Friends","Comedies, Dramas, Music & Musicals","","October 22, 2020","Chris Foggin","Daniel Mays, James Purefoy, David Hayman, Dave Johns, Sam Swainsbury, Tuppence Middleton, Noel Clarke, Maggie Steed, Vahid Gold, Christian Brassington","United Kingdom",NA
"2018","7.4/10","120 min","The Hows of Us","Dramas, International Movies, Romantic Movies","","October 22, 2020","Cathy Garcia-Molina","Kathryn Bernardo, Daniel Padilla, Darren Espanto, Jean Garcia, Susan Africa, Ria Atayde, Kit Thompson, Odette Khan, Alwyn Uytingco, Juan Miguel Severo","Philippines",NA
"2018","6.3/10","111 min","The Hummingbird Project","Dramas, Independent Movies","","October 22, 2020","Kim Nguyen","Jesse Eisenberg, Alexander Skarsgard, Salma Hayek, Michael Mando, Sarah Goldberg, Anna Maguire, Frank Schorpion, Johan Heldenbergh, Kwasi Songui, Ayisha Issa","Canada, Belgium",NA
"2020","6.0/10","78 min","Yes, God, Yes","Comedies, Dramas, Independent Movies","","October 22, 2020","Karen Maine","Natalia Dyer, Timothy Simons, Wolfgang Novogratz, Francesca Reale, Susan Blackwell, Alisha Boe, Donna Lynne Champlin, Parker Wierling","United States",NA
"2020","6.6/10","51 min","Brave Blue World: Racing to Solve Our Water Crisis","Documentaries, International Movies","","October 21, 2020","Tim Neeves","Liam Neeson, Matt Damon, Jaden Smith","Canada, United Kingdom",NA
"2020","8.0/10","3 Seasons","My Next Guest Needs No Introduction With David Letterman","Stand-Up Comedy & Talk Shows","",NA,NA,"President Barack Obama, George Clooney, Malala Yousafzai, Jay-Z, Tina Fey, Howard Stern, David Letterman","United States","October 21, 2020"
"2020","6.1/10","123 min","Rebecca","Dramas, Romantic Movies, Thrillers","","October 21, 2020","Ben Wheatley","Lily James, Armie Hammer, Kristin Scott Thomas, Keeley Hawes, Ann Dowd, Sam Riley, Tom Goodman-Hill, Mark Lewis Jones, John Hollingworth, Bill Paterson","United Kingdom",NA
"2020","5.2/10","46 min","The Magic School Bus Rides Again The Frizz Connection","Children & Family Movies","","October 20, 2020","Richard Weston","Kate McKinnon, Roman Lutterotti, Mikaela Blake, Gabby Clarke, Leke Maceda-Rustecki, Matthew Mucci, Birva Pandya, Lynsey Pham, Kaden Stephen","Canada",NA
"2020","5.6/10","102 min","Tremors: Shrieker Island","Action & Adventure, Horror Movies","","October 20, 2020","Don Michael Paul","Michael Gross, Jon Heder, Caroline Langrishe, Cassie Clare, Matthew Douglas, Sahajak Boonthanakit, David Asavanond, Jackie Cruz, Richard Brake","United States",NA
"1975","6.8/10","106 min","Beirut Oh Beirut","Classic Movies, Dramas, International Movies","","October 19, 2020","Maroun Baghdadi","Ezzat El Alaily, Mireille Maalouf, Joseph Bou Nassar, Elie Adabachi, Philippe Akiki, Ahmed Al Zein","Lebanon",NA
"2005","6.6/10","112 min","Bosta","Dramas, International Movies, Music & Musicals","","October 19, 2020","Philippe Aractingi","Rodney El Haddad, Nadine Labaky, Nada Abou Farhat, Liliane Nemri, Omar Rajeh, Mounir Malaeb, Bshara Atallah, Rana Alamuddin, Joelle Rizk, Mahfouz Barakat, Mahmoud Mabsout, Bader Haddad, Youssef Emalhoub","Lebanon",NA
"2013","7.5/10","101 min","Ghadi","Comedies, Dramas, International Movies","","October 19, 2020","Amin Dora","Georges Khabbaz, Lara Rain, Emmanuel Khairallah, Samir Youssef, Camille Salameh, Rodrigue Sleiman, Caroline Labaki, Giselle Boueiz, Christine Choueiri","Lebanon",NA
"2014","7.0/10","96 min","Heritages","Documentaries, International Movies","","October 19, 2020","Philippe Aractingi","Philippe Aractingi, Diane Aractingi","Lebanon, United Arab Emirates, France, Switzerland, Germany",NA
"2017","6.7/10","103 min","Listen","Dramas, Independent Movies, International Movies","","October 19, 2020","Philippe Aractingi","Hadi Bou Ayash, Ruba Zarour, Yara Bou Nassar, Rafik Ali Ahmad, Joseph Bou Nassar, Lama Lawand","Lebanon",NA
